text,label
"J’étais assez enthousiaste en entrant dans la salle de cinéma, au vu des excellentes critiques. Mais quelle déception... Une catastrophe ! On se demande comment on peut oser commercialiser un tel brouillon. Il y a pourtant à la base une histoire vraie, un scénario intéressant et des acteurs sympathiques (Kheiron, Leïla Bekhti, Gérard Darmon). Mais ils sont tous très mal dirigés, aucun n’est crédible. Il faut supporter un mélange des genres qui met le spectateur très mal à l’aise. Par exemple on passe sans transition de tortures abominables dans une prison à des gags lourds, très lourds... Pour représenter le Shah d’Iran, on a choisi la facilité : il est traité au degré zéro de la farce. En plus le spectateur subit un déferlement de bons sentiments, trop c’est trop ! La musique est parfois belle, mais elle arrive régulièrement avec de gros sabots pour forcer nos sentiments, c’est insupportable. La première partie de l’histoire est censée se passer en Iran. Si, comme moi, vous étiez intéressé par ce fabuleux pays, vous serez très déçu, le film est tourné au Maroc, pays qui n’a rien de commun avec L’Iran. Le film est énervant jusqu’au générique de fin : on se demande ce que certains partenaires font là...",0
"Un slasher qui a plutôt mal vieilli, dommage car l’idée est culte mais manque d’énergie pour être en suspense pendant le film.",0
"J'attendais mieux de cette fameuse idylle entre le tres célèbre Charles Dickens et cette jeune actrice de 18 ans. L'histoire est intéressante mais très mal construite. Les scènes traînent en longueur et l'ennui vient alors. Toutes les ficelles sont pourtant réunies : un amour impossible caché pourrait être tellement beau mais on attend constamment que le film décolle. ..en vain. Les acteurs sont pas dans leur meilleure performance avec une Kristen scott Thomas effacée, malgré tt Ralph Fiennes tj aussi brillant. Bref beaucoup d'ennui et c'est très mou... a zapper",0
"Bon eh ben,une fois de plus JCVD nous a sortie de sa dernière récolte un bien beau navet dont lui seul a le secret depuis 15 ans (plus ou moins).Déja dès le début rien qu'a le voir s'est a se tordre de rire .......une jolie permanente à la Régine (pourquoi pas),et d'un uniforme de policier canadien qui en fait au final fait plus pensé a je pense que Sylvester Stallone en lui offrant un rôle dans ""Expendable 2"",aurait pu lui permettre de se relancer ........bah non,alors au final un film plat,des dialogues (écrit surement sur un coin de table) et du cabotinages à morts....Allez a regarder pour sourire ^^",0
"Ballet contemporain dans lequel le corps se heurte à l’espace pourtant infini mais peuplé d’un spectre invisible partout présent parmi le noir environnant, cri de mort et de vie dans les limbes labyrinthiques d’une conscience, Les Chatouilles ne nécessite nulle critique pour en promouvoir la qualité, nul mot pour prendre conscience de l’urgence et de la détresse dont se saisissent ensemble Andréa Bescond et Éric Métayer, ou peut-être une seule formule, lambda et sérieuse : il faut voir Les Chatouilles, pas forcément en parler car il est difficile de mettre des termes figés sur autant de mouvance intérieure – la nôtre et celle des personnages –, sur autant de destruction à visage humain à visage commun à visage découvert. Simplement s’asseoir et regarder, ressentir, s’indigner et partager. Ici pas de caricature, pas de manichéisme, pas de psychologie de bazar ni d’exubérance dans la démarche ; simplement un électrochoc qui joue d’un même mouvement cinéma, théâtre et danse pour une même visée : faire choir le masque du prédateur et éveiller les consciences, toutes les consciences. Pour cela, le film adopte une forme narrative pleine d’ellipses et d’imbrications spatio-temporelles à la manière d’un conte : l’humour accentue cette dimension de récit initialement enfantin perverti par le pédophile, les transitions merveilleuses fonctionnent tel un livre d’images animées. C'est un film sur l’insouciance dangereuse, sur le viol d'une naïveté que l'adolescence et l'âge adulte n'ont pas eu le temps de faire disparaître. C'est un film sur l'incapacité à construire une existence entourée de ténèbres jusqu'à la violence ultime suite à laquelle l'être se relève de son mutisme ou s'y noie. Transparaît alors le courage d’une équipe et de leur projet, demeure le combat d’une femme qui, en franchissant le seuil interdit de l’enfouissement silencieux, lance un cri d’alerte. Plus jamais ça.",1
"Alain Resnais,90 ans et une énergie de jeune homme! Ça force le respect. Toujours sur un rythme d'un film tous les 2-3 ans,il adapte cette fois Jean Anouilh et sa pièce ""Eurydice"". Une histoire d'amour,de mort et d'amour après la mort. La gageure était de rendre cela suffisamment attrayant pour le public actuel. ""Vous n'avez encore rien vu"" est un film dans le film original et regroupant une troupe impressionnante d'habitués. Il a enchanté la critique presse et nul doute que certains ont savouré comme il se doit cet exercice de style d'un autre temps. Ma note provient du fait que je suis resté totalement hermétique et prodigieusement ennuyé à la vue de ce théâtre filmé,qui joue sur la répétition d'un même texte par des acteurs différents,et qui n'a aucune envie de moderniser ou de dynamiser le texte désuet de la pièce. Bien évidemment,les puristes diront exactement le contraire... Sabine Azema et Pierre Arditi d'un côté,Anne Consigny et Lambert Wilson de l'autre,sont ainsi Eurydice et Orphée. Resnais clame son amour du théâtre et du jeu expressif. Respectable,mais sans moi.",0
"Aïe ! J'ai beau être matinal, j'ai mal de voir Didier Bourdon réaliser et jouer dans un film aussi médiocre dans lequel il entraine son collègue Bernard Campan.",0
"Curieux film mélangeant le clinquant royal des cours européennes et le western américain. La beauté d'Yvonne De Carlo est bien la seule chose à sauver de ce film au scénario abracadabrandesque et aux décors ultra-kitsch. Les acteurs sont mauvais et les incohérences fusent (musique orchestrale de ""Salomé"" interprété par un simple pianiste dans un saloon paumé du farwest). Un film totalement dépassé.",0
"Film très sympa et distrayant, on rit et on se laisse prendre par cette jolie histoire. Au fonds du trou François/Clovis C. veut se prouver à lui-même et à sa famille qu'il est capable de réaliser l'exploit dont il rêve depuis toujours : faire le tour de France. Des moments rigolos, de magnifiques photos, l'évocation de l'ambiance du tour...C'est un film qui devrait plaire à petits et grands, qu'on aime ou pas le vélo ...",1
un effort sur la réalisation et le jeux d'acteur....pour le reste de la série B sans surprise,0
